external_id,vehicle_name,vehicle_index,use_custom_tour_data,custom_tour_start_date,custom_tour_end_date,custom_total_estimated_miles,custom_tour_days,custom_billed_bus_days,custom_main_driver_days
29248,Matador,2,false,,,,,,
29248,Temptation,3,false,,,,,,
29318,Jester,0,false,,,,,,
29327,Imposter,0,false,,,,,,
29342,Imposter,1,false,,,,,,
29348,Attitude,0,false,,,,,,
29348,Temptation,3,false,,,,,,
29348,Vortex,4,false,,,,,,
29353,Rebel,0,false,,,,,,
29357,Carolina,0,false,,,,,,
29357,Gypsy,1,false,,,,,,
29366,Miss Behavin’,0,false,,,,,,
29386,Magnolia,1,false,,,,,,
29388,Patriot,1,false,,,,,,
29389,Apex,0,false,,,,,,
30391,Apex,0,false,,,,,,
30391,Carrera,1,false,,,,,,
30395,Adrenaline,0,false,,,,,,
30395,Conspiracy,3,false,,,,,,
30395,Outlaw III,4,false,,,,,,
30397,Carrera,0,false,,,,,,
30397,Telluride,1,false,,,,,,
30398,Apex,0,false,,,,,,
30398,Cayman,1,false,,,,,,
30398,Havana,2,false,,,,,,
30398,Marshall,3,false,,,,,,
30400,Carrera,0,false,,,,,,
30400,Telluride,1,false,,,,,,
30401,Carrera,0,false,,,,,,
30401,Telluride,1,false,,,,,,
30405,First Order,0,false,,,,,,
30409,Highways,1,false,,,,,,
30416,Adrenaline,0,false,,,,,,
30416,Anonymous,1,false,,,,,,
30416,Matador,2,false,,,,,,
30416,Velocity,3,false,,,,,,
30442,Havana,1,false,,,,,,
30445,First Order,0,false,,,,,,
30448,Conspiracy,0,false,,,,,,
30449,Conniption,0,false,,,,,,
30450,Conniption,0,false,,,,,,
30451,Conniption,0,false,,,,,,
30455,Liberty,1,false,,,,,,
30456,Patriot,1,false,,,,,,
30456,Route-66,2,false,,,,,,
30466,Attitude,0,false,,,,,,
30466,Velocity,1,false,,,,,,
30469,Highways,1,false,,,,,,
30475,Carrera,0,false,,,,,,
30475,Patriot,1,false,,,,,,
30475,Symphony,2,false,,,,,,
30485,The Rig,1,false,,,,,,
30488,Been There,0,false,,,,,,
30488,Phantom,2,false,,,,,,
