external_id,vehicle_name,vehicle_index,use_custom_tour_data,custom_tour_start_date,custom_tour_end_date,custom_total_estimated_miles,custom_tour_days,custom_billed_bus_days,custom_main_driver_days
29248,CC9004,0,false,,,,,,
29248,CC9010,1,false,,,,,,
29342,CC9004,0,false,,,,,,
29348,CC9012,1,false,,,,,,
29348,CC9017,2,false,,,,,,
29386,CC9010,0,false,,,,,,
29388,CC9012,0,false,,,,,,
29389,CC9017,1,false,,,,,,
30395,CC9017,1,false,,,,,,
30395,CC9033,2,false,,,,,,
30409,CC9010,0,false,,,,,,
30442,CC9047,0,false,,,,,,
30453,CC9056,0,false,,,,,,
30455,CC9010,0,false,,,,,,
30456,CC9012,0,false,,,,,,
30469,CC9040,0,false,,,,,,
30485,CC9049,0,false,,,,,,
30488,CC9057,1,false,,,,,,
