external_id,vehicle_name,vehicle_index,use_custom_tour_data,custom_tour_start_date,custom_tour_end_date,custom_total_estimated_miles,custom_tour_days,custom_billed_bus_days,custom_main_driver_days
"30,491",Havana,0,false,,,,,,
"30,431",Conspiracy,0,false,,,,,,
"30,418",Imposter,0,false,,,,,,
"30,418",Marshall,1,false,,,,,,
"30,372",Matador,1,false,,,,,,
"29,315",Full House,0,false,,,,,,
"30,483",Cayman,0,false,,,,,,
"30,483",Havana,1,false,,,,,,
"30,483",Hickory,2,false,,,,,,
"30,483",Imposter,3,false,,,,,,
"30,483",Marshall,4,false,,,,,,
"30,483",Summit,5,false,,,,,,
"30,483",Symphony,6,false,,,,,,
"30,492",Legacy,0,false,,,,,,
"30,406",Summit,0,false,,,,,,
"29,330",Cobra,0,false,,,,,,
"29,362",Conspiracy,1,false,,,,,,
"29,363",Victory,0,false,,,,,,
"30,441",Snowman,1,false,,,,,,
"30,441",The Rig,2,true,2026  12:00:00 AM-01-28,2026  12:00:00 AM-01-29,0,2,0,0
"30,425",Snowman,1,false,,,,,,
"30,417",Snowman,0,false,,,,,,
"30,426",Snowman,0,false,,,,,,
"30,413",Gypsy,0,false,,,,,,
"30,413",Patriot,1,false,,,,,,
"27,946",Adrenaline,0,false,,,,,,
"30,429",Marshall,0,false,,,,,,
"30,410",Cayman,0,false,,,,,,
"29,371",Bandit,0,false,,,,,,
"29,372",Bandit,0,false,,,,,,
"29,373",Aspen,0,false,,,,,,
"29,370",Bandit,0,false,,,,,,
"29,368",Bandit,0,false,,,,,,
"29,369",Bandit,0,false,,,,,,
"30,370",Anonymous,0,false,,,,,,
"29,376",Legacy,0,false,,,,,,
"29,377",Telluride,0,false,,,,,,
"29,375",Legacy,0,false,,,,,,
"30,423",Conspiracy,1,false,,,,,,
"29,355",Carolina,0,false,,,,,,
"29,355",Gypsy,1,false,,,,,,
"29,324",Adrenaline,0,false,,,,,,
"30,487",Been There,0,false,,,,,,
"29,354",Highways,0,false,,,,,,
"30,415",Imposter,0,false,,,,,,
"30,458",Summit,0,false,,,,,,
"30,472",Summit,0,false,,,,,,
"29,291",Gypsy,0,false,,,,,,
"29,291",Hickory,1,false,,,,,,
"29,359",Gypsy,0,false,,,,,,
"29,360",Matador,0,false,,,,,,
"30,411",Tease,0,false,,,,,,
"30,412",The Ride,0,false,,,,,,
"29,345",Attitude,0,false,,,,,,
"29,346",Attitude,0,false,,,,,,
"29,255",Rhythm,0,false,,,,,,
"30,371",Gypsy,0,false,,,,,,
"30,428",Telluride,0,false,,,,,,
"29,364",All In,0,false,,,,,,
"29,344",Anonymous,0,false,,,,,,
"30,388",Cabaret,0,false,,,,,,
"30,378",Havana,0,false,,,,,,
"30,369",Sapphire,0,false,,,,,,
"29,319",Encore,0,false,,,,,,
"29,319",Presley,1,false,,,,,,
"30,494",Tupelo Honey,0,false,,,,,,
"30,493",The Rig,0,false,,,,,,
"30,459",Phantom,0,false,,,,,,
"29,230",Drifter,0,false,,,,,,
"29,273",Aspen,0,false,,,,,,
"29,361",Highways,0,false,,,,,,
"29,361",Matador,1,false,,,,,,
